V1_gene	Annotation_gene	Min_gene_overlap_percent
VIT_14s0030g01890	Vitvi05_01chr14g07720	63.4
VIT_14s0030g02020	Vitvi05_01chr14g07890	89.9
VIT_14s0030g02180	Vitvi05_01chr14g08120	82.5
VIT_14s0030g02200	Vitvi05_01chr14g08150	96.1
VIT_14s0036g01060	Vitvi05_01chr14g11520	77
VIT_14s0060g00230	Vitvi05_01chr14g00300	84
VIT_14s0060g00250	Vitvi05_01chr14g00330	87.7
VIT_14s0060g00420	Vitvi05_01chr14g00560	75.6
VIT_14s0060g00460	Vitvi05_01chr14g00600	68.6
VIT_14s0060g00570	Vitvi05_01chr14g00710	67.1
VIT_14s0060g00790	Vitvi05_01chr14g00990	66.1
VIT_14s0060g00820	Vitvi05_01chr14g01010	88.4
VIT_14s0060g00990	Vitvi05_01chr14g01180	66.7
VIT_14s0060g01300	Vitvi05_01chr14g01600	82.1
VIT_14s0060g01320	Vitvi05_01chr14g01610	75.2
VIT_14s0060g01430	Vitvi05_01chr14g01730	83.9
VIT_14s0060g01530	Vitvi05_01chr14g01840	88.8
VIT_14s0060g01880	Vitvi05_01chr14g02160	94.2
VIT_14s0060g01980	Vitvi05_01chr14g02300	83
VIT_14s0060g02000	Vitvi05_01chr14g02330	70.3
VIT_14s0060g02300	Vitvi05_01chr14g02730	57.3
VIT_14s0060g02730	Vitvi05_01chr14g03350	82.9
VIT_14s0066g00120	Vitvi05_01chr14g25170	82.9
VIT_14s0066g00160	Vitvi05_01chr14g25230	61.7
VIT_14s0066g00170	Vitvi05_01chr14g25240	58.5
VIT_14s0066g00250	Vitvi05_01chr14g25320	56
VIT_14s0066g00400	Vitvi05_01chr14g25500	69.8
VIT_14s0066g00600	Vitvi05_01chr14g25860	51.5
VIT_14s0066g00700	Vitvi05_01chr14g25980	90.3
VIT_14s0066g00710	Vitvi05_01chr14g25990	82.6
VIT_14s0066g00850	Vitvi05_01chr14g26230	93.3
VIT_14s0066g01050	Vitvi05_01chr14g26470	94
VIT_14s0066g01090	Vitvi05_01chr14g26520	87.8
VIT_14s0066g01580	Vitvi05_01chr14g27070	73.3
VIT_14s0066g01640	Vitvi05_01chr14g27150	77.3
VIT_14s0066g01710	Vitvi05_01chr14g27230	86.8
VIT_14s0066g01820	Vitvi05_01chr14g27400	54.1
VIT_14s0066g01840	Vitvi05_01chr14g27450	73
VIT_14s0066g01850	Vitvi05_01chr14g27480	86.4
VIT_14s0066g01880	Vitvi05_01chr14g27530	79.3
VIT_14s0066g02060	Vitvi05_01chr14g27760	66.6
VIT_14s0066g02250	Vitvi05_01chr14g27950	65.2
VIT_14s0066g02350	Vitvi05_01chr14g28050	53.1
VIT_14s0068g00010	Vitvi05_01chr14g20530	71.9
VIT_14s0068g00030	Vitvi05_01chr14g20540	77.9
VIT_14s0068g00040	Vitvi05_01chr14g20550	76.8
VIT_14s0068g00140	Vitvi05_01chr14g20670	95.4
VIT_14s0068g00160	Vitvi05_01chr14g20700	68.4
VIT_14s0068g00680	Vitvi05_01chr14g21520	95.5
VIT_14s0068g00740	Vitvi05_01chr14g21590	78.9
VIT_14s0068g00920	Vitvi05_01chr14g21850	60.8
VIT_14s0068g00940	Vitvi05_01chr14g21870	65.5
VIT_14s0068g01360	Vitvi05_01chr14g22420	85.2
VIT_14s0068g01380	Vitvi05_01chr14g22450	83.4
VIT_14s0068g01400	Vitvi05_01chr14g22470	54.9
VIT_14s0068g01490	Vitvi05_01chr14g22620	63.4
VIT_14s0068g01570	Vitvi05_01chr14g22710	55.6
VIT_14s0068g01620	Vitvi05_01chr14g22790	53.9
VIT_14s0068g01760	Vitvi05_01chr14g22990	76.2
VIT_14s0068g01870	Vitvi05_01chr14g23250	67
VIT_14s0068g02120	Vitvi05_01chr14g23480	98.8
VIT_14s0068g02190	Vitvi05_01chr14g23590	94.9
VIT_14s0081g00010	Vitvi05_01chr14g08310	78.3
VIT_14s0083g00080	Vitvi05_01chr14g18490	76.7
VIT_14s0083g00110	Vitvi05_01chr14g18550	57.3
VIT_14s0083g00260	Vitvi05_01chr14g18800	82.4
VIT_14s0083g00400	Vitvi05_01chr14g19020	66.7
VIT_14s0083g00620	Vitvi05_01chr14g19340	61.9
VIT_14s0083g00670	Vitvi05_01chr14g19420	64
VIT_14s0083g00940	Vitvi05_01chr14g19860	55
VIT_14s0083g01030	Vitvi05_01chr14g20050	86.1
VIT_14s0083g01100	Vitvi05_01chr14g20210	86.7
VIT_14s0083g01110	Vitvi05_01chr14g20220	78
VIT_14s0083g01140	Vitvi05_01chr14g20250	83.5
VIT_14s0108g00090	Vitvi05_01chr14g28610	85.9
VIT_14s0108g00340	Vitvi05_01chr14g28890	88.1
VIT_14s0108g00430	Vitvi05_01chr14g28990	84.4
VIT_14s0108g00440	Vitvi05_01chr14g29000	50
VIT_14s0108g00520	Vitvi05_01chr14g29090	54.8
VIT_14s0108g00700	Vitvi05_01chr14g29230	99
VIT_14s0108g00850	Vitvi05_01chr14g29370	57.4
VIT_14s0108g00890	Vitvi05_01chr14g29410	56.9
VIT_14s0108g01000	Vitvi05_01chr14g29510	69.6
VIT_14s0108g01070	Vitvi05_01chr14g29610	84.6
VIT_14s0108g01130	Vitvi05_01chr14g29720	93.9
VIT_14s0108g01320	Vitvi05_01chr14g29980	65.4
VIT_14s0108g01350	Vitvi05_01chr14g30010	67.2
VIT_14s0108g01420	Vitvi05_01chr14g30070	85
VIT_14s0128g00050	Vitvi05_01chr14g04710	94.6
VIT_14s0128g00190	Vitvi05_01chr14g04470	82.7
VIT_14s0128g00200	Vitvi05_01chr14g04460	85.1
VIT_14s0128g00210	Vitvi05_01chr14g04450	87.8
VIT_14s0128g00320	Vitvi05_01chr14g04300	83.3
VIT_14s0128g00570	Vitvi05_01chr14g03930	60.3
VIT_14s0171g00360	Vitvi05_01chr14g24420	71.7
VIT_14s0171g00400	Vitvi05_01chr14g24460	86.6
VIT_14s0219g00040	Vitvi05_01chr14g24700	92
VIT_14s0219g00110	Vitvi05_01chr14g24780	50.2
VIT_14s0219g00280	Vitvi05_01chr14g24990	82.9
VIT_15s0021g00540	Vitvi05_01chr15g08010	56.8
VIT_15s0021g00880	Vitvi05_01chr15g08460	91.9
VIT_15s0021g01060	Vitvi05_01chr15g08870	73.3
VIT_15s0021g01130	Vitvi05_01chr15g08920	92
VIT_15s0021g01280	Vitvi05_01chr15g09050	51.8
VIT_15s0021g01880	Vitvi05_01chr15g10140	72.1
VIT_15s0021g02270	Vitvi05_01chr15g10830	63.9
VIT_15s0021g02300	Vitvi05_01chr15g10880	68.6
VIT_15s0021g02510	Vitvi05_01chr15g11290	63.2
VIT_15s0021g02700	Vitvi05_01chr15g11460	63.5
VIT_15s0024g00040	Vitvi05_01chr15g00110	86.3
VIT_15s0024g01540	Vitvi05_01chr15g02810	72.5
VIT_15s0024g01630	Vitvi05_01chr15g03010	94.6
VIT_15s0024g01650	Vitvi05_01chr15g03030	88.3
VIT_15s0045g00770	Vitvi05_01chr15g06110	98.3
VIT_15s0045g01490	Vitvi05_01chr15g07170	87.3
VIT_15s0046g00120	Vitvi05_01chr15g16320	93.3
VIT_15s0046g00150	Vitvi05_01chr15g16360	64.7
VIT_15s0046g00170	Vitvi05_01chr15g16380	51.4
VIT_15s0046g00220	Vitvi05_01chr15g16440	84.2
VIT_15s0046g00230	Vitvi05_01chr15g16460	65.2
VIT_15s0046g00290	Vitvi05_01chr15g16550	69.7
VIT_15s0046g00360	Vitvi05_01chr15g16610	82.9
VIT_15s0046g00480	Vitvi05_01chr15g16750	87
VIT_15s0046g00490	Vitvi05_01chr15g16760	90.5
VIT_15s0046g00660	Vitvi05_01chr15g16890	94.1
VIT_15s0046g00710	Vitvi05_01chr15g16920	97.6
VIT_15s0046g01140	Vitvi05_01chr15g17730	72.7
VIT_15s0046g01170	Vitvi05_01chr15g17770	55.5
VIT_15s0046g01190	Vitvi05_01chr15g17780	55
VIT_15s0046g01230	Vitvi05_01chr15g17830	98.5
VIT_15s0046g01340	Vitvi05_01chr15g17940	52.4
VIT_15s0046g01360	Vitvi05_01chr15g17970	74
VIT_15s0046g01450	Vitvi05_01chr15g18070	96.4
VIT_15s0046g01500	Vitvi05_01chr15g18120	89.7
VIT_15s0046g01560	Vitvi05_01chr15g18240	98.6
VIT_15s0046g01570	Vitvi05_01chr15g18250	71.7
VIT_15s0046g01590	Vitvi05_01chr15g18270	87.6
VIT_15s0046g01610	Vitvi05_01chr15g18300	61
VIT_15s0046g01920	Vitvi05_01chr15g18670	85.1
VIT_15s0046g01990	Vitvi05_01chr15g18780	84.7
VIT_15s0046g02000	Vitvi05_01chr15g18790	95.7
VIT_15s0046g02030	Vitvi05_01chr15g18820	63.6
VIT_15s0046g02160	Vitvi05_01chr15g18970	93.4
VIT_15s0046g02410	Vitvi05_01chr15g19260	84.3
VIT_15s0046g02420	Vitvi05_01chr15g19270	93.5
VIT_15s0046g02750	Vitvi05_01chr15g19650	79.6
VIT_15s0046g03520	Vitvi05_01chr15g20410	80.5
VIT_15s0046g03570	Vitvi05_01chr15g20450	95.1
VIT_15s0046g03580	Vitvi05_01chr15g20460	86.9
VIT_15s0048g00370	Vitvi05_01chr15g12500	68.3
VIT_15s0048g00500	Vitvi05_01chr15g12650	79.7
VIT_15s0048g00510	Vitvi05_01chr15g12660	90.7
VIT_15s0048g00550	Vitvi05_01chr15g12720	66.1
VIT_15s0048g00620	Vitvi05_01chr15g12830	94.3
VIT_15s0048g00630	Vitvi05_01chr15g12840	54.7
VIT_15s0048g00830	Vitvi05_01chr15g13120	66.2
VIT_15s0048g01080	Vitvi05_01chr15g13480	68.1
VIT_15s0048g01750	Vitvi05_01chr15g14310	63.1
VIT_15s0048g02280	Vitvi05_01chr15g15030	76.9
VIT_15s0048g02780	Vitvi05_01chr15g15700	65.3
VIT_15s0048g02870	Vitvi05_01chr15g15830	61.9
VIT_15s0048g02910	Vitvi05_01chr15g15900	80.1
VIT_15s0048g02980	Vitvi05_01chr15g15990	55.4
VIT_15s0107g00270	Vitvi05_01chr15g04670	87.3
VIT_15s0107g00550	Vitvi05_01chr15g04980	92.4
VIT_16s0013g00220	Vitvi05_01chr16g04170	91.7
VIT_16s0013g00390	Vitvi05_01chr16g04490	63.7
VIT_16s0013g00410	Vitvi05_01chr16g04510	59.1
VIT_16s0013g00630	Vitvi05_01chr16g04760	59.4
VIT_16s0013g00870	Vitvi05_01chr16g05220	89.8
VIT_16s0013g00880	Vitvi05_01chr16g05230	56.4
VIT_16s0013g00950	Vitvi05_01chr16g05310	76.6
VIT_16s0013g00970	Vitvi05_01chr16g05320	77.9
VIT_16s0013g00980	Vitvi05_01chr16g05330	79
VIT_16s0013g01000	Vitvi05_01chr16g05370	50.6
VIT_16s0013g01050	Vitvi05_01chr16g05400	97.6
VIT_16s0013g01060	Vitvi05_01chr16g05410	54.1
VIT_16s0013g01070	Vitvi05_01chr16g05440	75.1
VIT_16s0013g01720	Vitvi05_01chr16g06630	79.7
VIT_16s0013g01990	Vitvi05_01chr16g07000	74.7
VIT_16s0022g00510	Vitvi05_01chr16g10010	51.3
VIT_16s0022g00630	Vitvi05_01chr16g10380	86.5
VIT_16s0022g00670	Vitvi05_01chr16g10430	77.7
VIT_16s0022g00890	Vitvi05_01chr16g10680	69.4
VIT_16s0022g01430	Vitvi05_01chr16g11320	52.9
VIT_16s0022g01770	Vitvi05_01chr16g11760	90.4
VIT_16s0022g01970	Vitvi05_01chr16g12070	84.8
VIT_16s0022g02200	Vitvi05_01chr16g12420	69.1
VIT_16s0039g00220	Vitvi05_01chr16g00130	55.7
VIT_16s0039g00570	Vitvi05_01chr16g00360	88.7
VIT_16s0039g00970	Vitvi05_01chr16g00640	96.3
VIT_16s0039g00990	Vitvi05_01chr16g00650	52.1
VIT_16s0039g01120	Vitvi05_01chr16g00810	92.5
VIT_16s0039g01170	Vitvi05_01chr16g00830	92.7
VIT_16s0039g01240	Vitvi05_01chr16g00890	93.4
VIT_16s0039g01280	Vitvi05_01chr16g00900	94.5
VIT_16s0039g01300	Vitvi05_01chr16g00910	52.6
VIT_16s0039g01410	Vitvi05_01chr16g01080	66.2
VIT_16s0039g01420	Vitvi05_01chr16g01090	55.1
VIT_16s0039g01670	Vitvi05_01chr16g01530	52.4
VIT_16s0039g01770	Vitvi05_01chr16g01840	73.8
VIT_16s0039g01910	Vitvi05_01chr16g02070	94.8
VIT_16s0039g01920	Vitvi05_01chr16g02080	86.8
VIT_16s0039g02230	Vitvi05_01chr16g02560	98.2
VIT_16s0039g02550	Vitvi05_01chr16g03070	85.5
VIT_16s0050g00080	Vitvi05_01chr16g15070	93.9
VIT_16s0050g00240	Vitvi05_01chr16g15260	68.6
VIT_16s0050g00380	Vitvi05_01chr16g15420	70.4
VIT_16s0050g00400	Vitvi05_01chr16g15450	50.3
VIT_16s0050g00480	Vitvi05_01chr16g15580	74.9
VIT_16s0050g00570	Vitvi05_01chr16g15660	92
VIT_16s0050g00830	Vitvi05_01chr16g16010	74.9
VIT_16s0050g00910	Vitvi05_01chr16g16100	73.3
VIT_16s0050g01020	Vitvi05_01chr16g16230	62.1
VIT_16s0050g01090	Vitvi05_01chr16g16290	72.1
VIT_16s0050g01150	Vitvi05_01chr16g16390	88.5
VIT_16s0050g01620	Vitvi05_01chr16g17010	60.7
VIT_16s0050g01660	Vitvi05_01chr16g17050	61.5
VIT_16s0050g01680	Vitvi05_01chr16g17070	88.1
VIT_16s0050g01990	Vitvi05_01chr16g17510	62.6
VIT_16s0050g02100	Vitvi05_01chr16g17650	82.6
VIT_16s0050g02680	Vitvi05_01chr16g18350	73.4
VIT_16s0098g00160	Vitvi05_01chr16g19920	76.5
VIT_16s0098g00560	Vitvi05_01chr16g20580	77.7
VIT_16s0098g00720	Vitvi05_01chr16g20760	69.2
VIT_16s0098g00860	Vitvi05_01chr16g20950	87.5
VIT_16s0098g00990	Vitvi05_01chr16g21140	68.1
VIT_16s0098g01080	Vitvi05_01chr16g21260	69.2
VIT_16s0098g01280	Vitvi05_01chr16g21560	88.7
VIT_16s0098g01290	Vitvi05_01chr16g21570	88.3
VIT_16s0098g01540	Vitvi05_01chr16g21820	88.6
VIT_16s0098g01640	Vitvi05_01chr16g21950	72.5
VIT_16s0098g01720	Vitvi05_01chr16g22030	95.8
VIT_16s0098g01790	Vitvi05_01chr16g22100	79.5
VIT_16s0098g01870	Vitvi05_01chr16g22190	76.8
VIT_16s0098g01900	Vitvi05_01chr16g22220	83.5
VIT_16s0100g00380	Vitvi05_01chr16g13550	91.5
VIT_16s0100g00570	Vitvi05_01chr16g13750	83.8
VIT_16s0100g00740	Vitvi05_01chr16g13990	77.1
VIT_16s0100g00750	Vitvi05_01chr16g14000	91.3
VIT_16s0100g00770	Vitvi05_01chr16g14020	55.7
VIT_16s0100g00780	Vitvi05_01chr16g14030	92.6
VIT_16s0100g00880	Vitvi05_01chr16g14190	97.9
VIT_16s0100g00910	Vitvi05_01chr16g14090	53.2
VIT_16s0100g00960	Vitvi05_01chr16g14250	90.7
VIT_16s0100g00990	Vitvi05_01chr16g14300	70.5
VIT_16s0100g01000	Vitvi05_01chr16g14280	87.3
VIT_16s0100g01010	Vitvi05_01chr16g14240	94.9
VIT_16s0100g01020	Vitvi05_01chr16g14310	87.8
VIT_16s0100g01030	Vitvi05_01chr16g14320	67.2
VIT_16s0100g01070	Vitvi05_01chr16g14370	53.9
VIT_16s0100g01100	Vitvi05_01chr16g14430	78.4
VIT_16s0100g01140	Vitvi05_01chr16g14500	94.7
VIT_16s0100g01150	Vitvi05_01chr16g14510	85.1
VIT_16s0100g01160	Vitvi05_01chr16g14540	89.1
VIT_16s0100g01190	Vitvi05_01chr16g14570	100
VIT_16s0100g01200	Vitvi05_01chr16g14590	52.7
VIT_16s0115g00170	Vitvi05_01chr16g08750	62.1
VIT_16s0115g00340	Vitvi05_01chr16g08500	73.5
VIT_16s0148g00320	Vitvi05_01chr16g18660	82.9
VIT_17s0000g00010	Vitvi05_01chr17g00170	76.5
VIT_17s0000g00130	Vitvi05_01chr17g00240	61.6
VIT_17s0000g00290	Vitvi05_01chr17g00460	85.9
VIT_17s0000g00710	Vitvi05_01chr17g00830	78
VIT_17s0000g00820	Vitvi05_01chr17g00920	53.3
VIT_17s0000g00830	Vitvi05_01chr17g00930	87.1
VIT_17s0000g01080	Vitvi05_01chr17g01210	52.4
VIT_17s0000g01120	Vitvi05_01chr17g01260	67.4
VIT_17s0000g01160	Vitvi05_01chr17g01300	90.9
VIT_17s0000g01290	Vitvi05_01chr17g01500	76.4
VIT_17s0000g01360	Vitvi05_01chr17g01580	77.5
VIT_17s0000g01490	Vitvi05_01chr17g01730	73.1
VIT_17s0000g01790	Vitvi05_01chr17g02040	90.2
VIT_17s0000g01930	Vitvi05_01chr17g02250	92.8
VIT_17s0000g02010	Vitvi05_01chr17g02380	72.4
VIT_17s0000g02120	Vitvi05_01chr17g02500	84.2
VIT_17s0000g02140	Vitvi05_01chr17g02530	98.1
VIT_17s0000g02440	Vitvi05_01chr17g03050	94.9
VIT_17s0000g02530	Vitvi05_01chr17g03260	91.1
VIT_17s0000g02600	Vitvi05_01chr17g03330	61.3
VIT_17s0000g02970	Vitvi05_01chr17g03740	86.4
VIT_17s0000g03010	Vitvi05_01chr17g03790	89.5
VIT_17s0000g03130	Vitvi05_01chr17g04020	88.5
VIT_17s0000g03200	Vitvi05_01chr17g04120	94.7
VIT_17s0000g03280	Vitvi05_01chr17g04220	50
VIT_17s0000g03460	Vitvi05_01chr17g04550	68.8
VIT_17s0000g03690	Vitvi05_01chr17g04920	52.3
VIT_17s0000g03990	Vitvi05_01chr17g05400	71.1
VIT_17s0000g04150	Vitvi05_01chr17g05670	90.4
VIT_17s0000g04210	Vitvi05_01chr17g05870	54.3
VIT_17s0000g04490	Vitvi05_01chr17g06330	97.9
VIT_17s0000g05020	Vitvi05_01chr17g07220	88.7
VIT_17s0000g05070	Vitvi05_01chr17g07310	88.1
VIT_17s0000g05210	Vitvi05_01chr17g07470	70.4
VIT_17s0000g05250	Vitvi05_01chr17g07520	94.9
VIT_17s0000g05570	Vitvi05_01chr17g07940	98.2
VIT_17s0000g05650	Vitvi05_01chr17g08040	78
VIT_17s0000g05840	Vitvi05_01chr17g08290	94.6
VIT_17s0000g06210	Vitvi05_01chr17g08830	83.5
VIT_17s0000g06350	Vitvi05_01chr17g09040	70.1
VIT_17s0000g06360	Vitvi05_01chr17g09050	55.3
VIT_17s0000g06680	Vitvi05_01chr17g09570	94
VIT_17s0000g06960	Vitvi05_01chr17g10140	82.5
VIT_17s0000g07190	Vitvi05_01chr17g10550	71.9
VIT_17s0000g07470	Vitvi05_01chr17g11000	81.8
VIT_17s0000g07580	Vitvi05_01chr17g11190	63.8
VIT_17s0000g07640	Vitvi05_01chr17g11250	94.8
VIT_17s0000g07790	Vitvi05_01chr17g11520	93.3
VIT_17s0000g07840	Vitvi05_01chr17g11580	74.5
VIT_17s0000g07850	Vitvi05_01chr17g11590	63.5
VIT_17s0000g07950	Vitvi05_01chr17g11700	57.2
VIT_17s0000g08070	Vitvi05_01chr17g11850	84.5
VIT_17s0000g08240	Vitvi05_01chr17g12050	86.5
VIT_17s0000g08290	Vitvi05_01chr17g12090	83.5
VIT_17s0000g08370	Vitvi05_01chr17g12180	81.1
VIT_17s0000g08530	Vitvi05_01chr17g12370	60.9
VIT_17s0000g08680	Vitvi05_01chr17g12530	95.1
VIT_17s0000g08920	Vitvi05_01chr17g13000	74.1
VIT_17s0000g09370	Vitvi05_01chr17g13600	81.4
VIT_17s0000g09400	Vitvi05_01chr17g13650	72
VIT_17s0000g09770	Vitvi05_01chr17g14250	89.3
VIT_17s0000g09900	Vitvi05_01chr17g14420	70.5
VIT_17s0000g10000	Vitvi05_01chr17g14530	94.8
VIT_17s0053g00040	Vitvi05_01chr17g16900	88.9
VIT_17s0053g00380	Vitvi05_01chr17g17140	96.2
VIT_17s0053g00970	Vitvi05_01chr17g18230	86.2
VIT_17s0053g00990	Vitvi05_01chr17g18290	59.6
VIT_18s0001g00290	Vitvi05_01chr18g01720	71.3
VIT_18s0001g00370	Vitvi05_01chr18g01800	94.7
VIT_18s0001g00470	Vitvi05_01chr18g01850	92.5
VIT_18s0001g00720	Vitvi05_01chr18g02080	90.1
VIT_18s0001g00760	Vitvi05_01chr18g02140	94.1
VIT_18s0001g00770	Vitvi05_01chr18g02150	89.3
VIT_18s0001g00780	Vitvi05_01chr18g22400	58.3
VIT_18s0001g00820	Vitvi05_01chr18g02200	56.4
VIT_18s0001g00840	Vitvi05_01chr18g02220	66.5
VIT_18s0001g01060	Vitvi05_01chr18g02450	77.6
VIT_18s0001g01210	Vitvi05_01chr18g02580	80.3
VIT_18s0001g01380	Vitvi05_01chr18g22720	95.7
VIT_18s0001g01490	Vitvi05_01chr18g22780	83.7
VIT_18s0001g01570	Vitvi05_01chr18g22830	82.4
VIT_18s0001g02100	Vitvi05_01chr18g03580	73
VIT_18s0001g02540	Vitvi05_01chr18g03930	83.6
VIT_18s0001g02570	Vitvi05_01chr18g03950	96.1
VIT_18s0001g02610	Vitvi05_01chr18g03960	74.5
VIT_18s0001g02740	Vitvi05_01chr18g04050	61.5
VIT_18s0001g02790	Vitvi05_01chr18g04100	64.2
VIT_18s0001g03240	Vitvi05_01chr18g04400	61.7
VIT_18s0001g03430	Vitvi05_01chr18g04530	96.2
VIT_18s0001g03470	Vitvi05_01chr18g04560	85.4
VIT_18s0001g03610	Vitvi05_01chr18g04690	78.9
VIT_18s0001g03670	Vitvi05_01chr18g04720	55.2
VIT_18s0001g04520	Vitvi05_01chr18g05180	85.5
VIT_18s0001g04680	Vitvi05_01chr18g05290	97.7
VIT_18s0001g04790	Vitvi05_01chr18g05360	91.5
VIT_18s0001g05040	Vitvi05_01chr18g05530	54
VIT_18s0001g05180	Vitvi05_01chr18g05590	93.6
VIT_18s0001g05570	Vitvi05_01chr18g05780	91.8
VIT_18s0001g05840	Vitvi05_01chr18g06080	93.5
VIT_18s0001g05910	Vitvi05_01chr18g06150	88.3
VIT_18s0001g06020	Vitvi05_01chr18g06210	65.1
VIT_18s0001g06060	Vitvi05_01chr18g06260	81.6
VIT_18s0001g06070	Vitvi05_01chr18g33910	89
VIT_18s0001g06170	Vitvi05_01chr18g06340	94.4
VIT_18s0001g06370	Vitvi05_01chr18g06490	81.9
VIT_18s0001g06430	Vitvi05_01chr18g06560	58.1
VIT_18s0001g06690	Vitvi05_01chr18g06800	75.1
VIT_18s0001g06720	Vitvi05_01chr18g33340	83.2
VIT_18s0001g06790	Vitvi05_01chr18g06860	78.8
VIT_18s0001g07340	Vitvi05_01chr18g07480	91.6
VIT_18s0001g07840	Vitvi05_01chr18g08210	89.1
VIT_18s0001g08090	Vitvi05_01chr18g08610	72
VIT_18s0001g08100	Vitvi05_01chr18g08630	58.9
VIT_18s0001g08200	Vitvi05_01chr18g08790	78.1
VIT_18s0001g08230	Vitvi05_01chr18g08820	72.9
VIT_18s0001g08240	Vitvi05_01chr18g08830	57.3
VIT_18s0001g08270	Vitvi05_01chr18g08900	89.1
VIT_18s0001g08320	Vitvi05_01chr18g08960	77.7
VIT_18s0001g08330	Vitvi05_01chr18g08970	75
VIT_18s0001g08340	Vitvi05_01chr18g08980	71.3
VIT_18s0001g08430	Vitvi05_01chr18g09060	81.2
VIT_18s0001g08550	Vitvi05_01chr18g09210	84.5
VIT_18s0001g08580	Vitvi05_01chr18g09250	60
VIT_18s0001g08710	Vitvi05_01chr18g09420	62
VIT_18s0001g09000	Vitvi05_01chr18g09810	70.9
VIT_18s0001g09040	Vitvi05_01chr18g09850	76.3
VIT_18s0001g09140	Vitvi05_01chr18g09980	54.4
VIT_18s0001g09360	Vitvi05_01chr18g10300	71.5
VIT_18s0001g09530	Vitvi05_01chr18g10500	83.2
VIT_18s0001g09550	Vitvi05_01chr18g10520	77.4
VIT_18s0001g09900	Vitvi05_01chr18g11110	60.5
VIT_18s0001g09910	Vitvi05_01chr18g11120	50.4
VIT_18s0001g09920	Vitvi05_01chr18g11140	75.1
VIT_18s0001g10070	Vitvi05_01chr18g11280	67
VIT_18s0001g10300	Vitvi05_01chr18g11640	60.8
VIT_18s0001g10310	Vitvi05_01chr18g11650	58.9
VIT_18s0001g10480	Vitvi05_01chr18g11890	92.1
VIT_18s0001g10500	Vitvi05_01chr18g11920	81.2
VIT_18s0001g10510	Vitvi05_01chr18g11930	50
VIT_18s0001g10690	Vitvi05_01chr18g12140	98.6
VIT_18s0001g10830	Vitvi05_01chr18g12290	73.6
VIT_18s0001g11090	Vitvi05_01chr18g12620	94.7
VIT_18s0001g11130	Vitvi05_01chr18g12660	86.8
VIT_18s0001g11320	Vitvi05_01chr18g12910	73.9
VIT_18s0001g11370	Vitvi05_01chr18g12980	54.1
VIT_18s0001g11470	Vitvi05_01chr18g13080	96.6
VIT_18s0001g11520	Vitvi05_01chr18g13150	67.4
VIT_18s0001g11580	Vitvi05_01chr18g13240	89.5
VIT_18s0001g11590	Vitvi05_01chr18g13250	81.7
VIT_18s0001g11630	Vitvi05_01chr18g13290	54.4
VIT_18s0001g11680	Vitvi05_01chr18g13350	65.4
VIT_18s0001g11710	Vitvi05_01chr18g13410	85.4
VIT_18s0001g11830	Vitvi05_01chr18g13540	50.6
VIT_18s0001g11860	Vitvi05_01chr18g13560	93.8
VIT_18s0001g11910	Vitvi05_01chr18g13680	66.2
VIT_18s0001g11930	Vitvi05_01chr18g13700	80.1
VIT_18s0001g11970	Vitvi05_01chr18g13730	52
VIT_18s0001g12020	Vitvi05_01chr18g13780	86.8
VIT_18s0001g12100	Vitvi05_01chr18g13870	91.7
VIT_18s0001g12340	Vitvi05_01chr18g14170	82.6
VIT_18s0001g12490	Vitvi05_01chr18g14370	95.2
VIT_18s0001g12660	Vitvi05_01chr18g14640	85.7
VIT_18s0001g12830	Vitvi05_01chr18g14840	87.6
VIT_18s0001g13200	Vitvi05_01chr18g15360	74.6
VIT_18s0001g13230	Vitvi05_01chr18g15390	85.4
VIT_18s0001g13240	Vitvi05_01chr18g15400	100
VIT_18s0001g13360	Vitvi05_01chr18g15540	70.7
VIT_18s0001g13970	Vitvi05_01chr18g16320	90.6
VIT_18s0001g14040	Vitvi05_01chr18g16430	70.5
VIT_18s0001g14130	Vitvi05_01chr18g16530	65.4
VIT_18s0001g14360	Vitvi05_01chr18g16840	92.4
VIT_18s0001g14450	Vitvi05_01chr18g17030	83.1
VIT_18s0001g14790	Vitvi05_01chr18g17430	80.7
VIT_18s0001g14910	Vitvi05_01chr18g17580	74.6
VIT_18s0001g14980	Vitvi05_01chr18g17640	97.4
VIT_18s0001g15000	Vitvi05_01chr18g17670	53.5
VIT_18s0001g15130	Vitvi05_01chr18g17840	70.1
VIT_18s0001g15220	Vitvi05_01chr18g17970	86.3
VIT_18s0001g15310	Vitvi05_01chr18g18090	83.9
VIT_18s0001g15330	Vitvi05_01chr18g18110	76.1
VIT_18s0001g15390	Vitvi05_01chr18g18190	76.5
VIT_18s0001g15410	Vitvi05_01chr18g18210	79.2
VIT_18s0001g15460	Vitvi05_01chr18g18300	86.3
VIT_18s0001g15640	Vitvi05_01chr18g18510	94.3
VIT_18s0001g15730	Vitvi05_01chr18g18600	59.4
VIT_18s0041g00090	Vitvi05_01chr18g29370	91.6
VIT_18s0041g00350	Vitvi05_01chr18g29810	85.4
VIT_18s0041g00370	Vitvi05_01chr18g29850	55.1
VIT_18s0041g00550	Vitvi05_01chr18g30120	89.6
VIT_18s0041g00580	Vitvi05_01chr18g30150	85.1
VIT_18s0041g00670	Vitvi05_01chr18g30290	87.1
VIT_18s0041g00740	Vitvi05_01chr18g30390	96.7
VIT_18s0041g00870	Vitvi05_01chr18g30500	97.7
